code,year,quarter,roe,gross_margin,net_margin,profit_yoy,asset_turnover,inventory_turnover,liability_to_asset,current_ratio,cfo_to_revenue,cfo_to_profit,interest_coverage,buy_price,pe,pb,ps
sh600117,2025,1,-0.03321,-0.023825,-0.191175,0.137825,0.088271,0.776728,0.005015,0.687803,-0.100301,,-4.019541,,,,
sh600117,2025,2,-0.052625,-0.022324,-0.118689,0.153326,0.22844,2.059966,0.005199,0.653188,0.003894,,-3.960980,,,,
sh600117,2025,3,-0.130734,-0.019541,-0.163828,-0.197688,0.346313,3.361663,0.005381,0.607669,-0.003071,,-4.721828,,,,
sh600117,2025,4,-0.217836,-0.057877,-0.189577,0.087814,0.479504,5.168226,0.560565,0.498409,0.012316,,-20.080307,,,,
sh600126,2019,1,0.023353,0.09793,0.068017,-0.12256,0.247874,3.327719,0.282981,1.809228,0.144432,2.123458,,,,,
sh600126,2019,2,0.037731,0.092688,0.058282,-0.37485,0.470387,5.529961,0.285486,1.822096,0.120905,2.074487,,,,,
sh600126,2019,3,0.043369,0.074143,0.043235,-0.479557,0.732951,9.471306,0.284649,1.814965,0.065661,1.518692,,,,,
sh600126,2019,4,0.049011,0.062959,0.034884,-0.522994,1.025595,13.207872,0.272023,1.761729,0.046652,1.337363,,,,,
sh600126,2020,1,0.007483,0.037739,0.023745,-0.682263,0.21902,2.95129,0.300658,1.696687,0.136347,5.742252,,,,,
sh600126,2020,2,0.020481,0.046527,0.030571,-0.440691,0.481837,7.023588,0.316483,1.638989,0.139690,4.569396,,,,,
sh600126,2020,3,0.039186,0.062122,0.034117,-0.08186,0.793966,9.100603,0.351337,1.591346,0.140191,4.109077,,,,,
sh600126,2020,4,0.058635,0.060778,0.035408,0.230708,1.207283,14.363635,0.272893,2.101194,0.070201,1.982655,,,,,
sh600126,2021,1,0.018019,0.061014,0.03441,1.571521,0.349813,2.800671,0.363422,1.763330,-0.006138,-0.178367,,,,,
sh600126,2021,2,0.049793,0.065969,0.038752,1.524102,0.887803,7.568783,0.336249,1.763892,0.052885,1.364699,,,,,
sh600126,2021,3,0.080528,0.06936,0.0417,1.142553,1.361416,11.375461,0.309174,1.879410,0.046517,1.115528,,,,,
sh600126,2021,4,0.081547,0.054746,0.032817,0.437377,1.764258,17.499457,0.297619,1.834936,0.047377,1.443644,,,,,
sh600126,2022,1,0.018841,0.05406,0.033093,0.095246,0.391391,3.33921,0.326497,1.777980,0.106761,3.226093,,,,,
sh600126,2022,2,0.025356,0.044727,0.020059,-0.476529,0.855571,7.331143,0.347502,1.662426,0.097059,4.838616,,,,,
sh600126,2022,3,0.024352,0.036148,0.013664,-0.693663,1.175456,10.619517,0.379144,1.571502,0.087955,6.436802,,,,,
sh600126,2022,4,0.023562,0.027368,0.011081,-0.707186,1.497098,13.768178,0.294400,1.779591,-0.005960,-0.537868,,,,,
sh600126,2023,1,0.001577,0.016908,0.002586,-0.917409,0.406518,3.120125,0.383742,1.529226,-0.023216,-8.979165,,,,,
sh600126,2023,2,0.002744,0.015876,0.002146,-0.893249,0.844194,7.277723,0.378594,1.521590,-0.000343,-0.159981,,,,,
sh600126,2023,3,0.004248,0.016955,0.002189,-0.825994,1.282393,11.380692,0.389281,1.507281,-0.001184,-0.540881,,,,,
sh600126,2023,4,0.009025,0.015094,0.003296,-0.617902,1.866594,13.111752,0.352309,1.535568,-0.049123,-14.901620,,,,,
sh600126,2024,1,0.001689,0.011388,0.002071,0.029074,0.499848,2.745228,0.385691,1.472487,-0.134942,-65.155662,,,,,
sh600126,2024,2,-0.001813,0.009965,-0.001104,-1.670936,1.060593,6.004713,0.003708,1.457147,-0.050223,,,,,,
sh600126,2024,3,-0.022464,0.001251,-0.009259,-6.172387,1.525213,9.026254,0.003839,1.388264,0.003733,,,,,,
sh600126,2024,4,-0.031723,0.002342,-0.009849,-4.407061,1.982768,11.303088,0.004065,1.325192,0.017744,,,,,,
sh600126,2025,1,-0.001805,0.016187,-0.002419,-2.050828,0.44566,2.509684,0.003842,1.372682,-0.129476,,,,,,
sh600126,2025,2,-0.005904,0.013702,-0.003892,-2.118355,0.908446,5.341841,0.003967,1.329723,-0.010082,,,,,,
sh600126,2025,3,0.005172,0.016576,0.00219,1.22308,1.365354,8.458344,0.004133,1.300475,0.047081,21.502002,,,,,
sh600126,2025,4,0.001243,0.018167,0.000441,1.036797,1.630442,10.504375,0.368752,1.344063,0.040978,92.939682,,,,,
sh600231,2019,1,0.009175,0.062218,0.013311,-0.730825,0.326521,2.65137,0.517810,0.775057,0.009990,0.750476,4.804327,,,,
sh600231,2019,2,0.050211,0.088006,0.035743,-0.492392,0.649743,5.281556,0.540344,0.854303,0.095236,2.664486,11.514190,,,,
sh600231,2019,3,0.055594,0.074899,0.026184,-0.669611,1.046261,8.074952,0.477798,0.827004,0.081613,3.116962,11.483164,,,,
sh600231,2019,4,0.056294,0.070098,0.020254,-0.642799,1.32436,10.304704,0.512490,0.867429,0.054764,2.703904,26.546099,,,,
sh600231,2020,1,0.000575,0.03167,0.00104,-0.935014,0.270399,2.648721,0.509311,0.870890,0.108875,104.670388,3.539866,,,,
sh600231,2020,2,0.019473,0.050575,0.016433,-0.600174,0.576134,5.889102,0.515060,0.941065,0.178068,10.835671,,,,,
sh600231,2020,3,0.052988,0.063539,0.028718,-0.002588,0.905427,8.405075,0.506165,0.963677,0.116694,4.063373,,,,,
sh600231,2020,4,0.069645,0.065182,0.027495,0.304827,1.272887,10.762532,0.482569,0.978429,0.083462,3.035528,,,,,
sh600231,2021,1,0.02815,0.076133,0.041184,52.41997,0.352573,2.749014,0.485701,1.005736,-0.059926,-1.455081,,,,,
sh600231,2021,2,0.087414,0.106147,0.060764,4.040157,0.740654,5.514856,0.487433,1.075013,-0.014351,-0.236172,,,,,
sh600231,2021,3,0.123668,0.09358,0.0545,1.600586,1.148886,8.638065,0.503067,1.076070,0.054340,0.997051,,,,,
sh600231,2021,4,0.10482,0.073091,0.035125,0.646116,1.556567,10.948602,0.474600,1.061276,0.024667,0.702268,,,,,
sh600231,2022,1,0.013579,0.050555,0.021026,-0.468817,0.34168,2.587979,0.467289,1.074301,-0.006717,-0.319448,,,,,
sh600231,2022,2,0.014264,0.035301,0.010178,-0.82897,0.720023,5.536233,0.497507,1.036346,0.043373,4.261322,,,,,
sh600231,2022,3,-0.023198,0.005261,-0.011972,-1.191047,0.966442,8.373736,0.526577,0.980741,0.035624,,,,,,
sh600231,2022,4,-0.095838,-0.015597,-0.03867,-1.907484,1.259348,10.417628,0.510145,0.873507,-0.036429,,,,,,
sh600231,2023,1,0.005629,0.034103,0.008314,-0.636547,0.319158,3.013606,0.545555,0.871607,0.007850,0.944137,85.179853,,,,
sh600231,2023,2,-0.012342,0.011659,-0.009323,-1.760667,0.624635,6.17777,0.545170,0.831492,0.114490,,,,,,
sh600231,2023,3,-0.025072,0.007971,-0.012961,0.037725,0.944023,9.034398,0.513844,0.778014,0.040783,,-138.522643,,,,
sh600231,2023,4,-0.087504,-0.008017,-0.033521,0.182914,1.228249,11.11009,0.549026,0.733955,0.084388,,,,,,
sh600231,2024,1,-0.043981,-0.053515,-0.061642,-7.949181,0.327005,3.050805,0.533753,0.603291,-0.121950,,-28.289725,,,,
